id,pedestrian_category,pedestrian_condition,pedestrian_behaviour,situation_at_the_point_of_accident
2100221100,Woman,good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
2100221144,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2100221146,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2100221318,another group,not detected,,another situation
2100221363,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2100221378,Woman,good no adverse circumstances were found,"correct, appropriate","walking, standing on the pavement"
2100221430,another group,not detected,,another situation
2100221518,Woman,good no adverse circumstances were found,,pedestrian entering the roadway near the crosswalk (approx. within 20 m)
2100221566,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2100221599,man,"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",another situation
2100221625,man,good no adverse circumstances were found,,crossing at a marked crossing
2100221660,Woman,under the influence of alcohol with a blood alcohol content of up to 0.99 ‰,sudden entry into the road from a boarding or dividing island,another situation
2100221668,man,good no adverse circumstances were found,"correct, appropriate","walking, standing on the pavement"
2100221708,another group,not detected,,another situation
2100221714,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2100221776,child (up to 15 years),good no adverse circumstances were found,Side impact,crossing just in front of or behind a parked vehicle
2100221792,Woman,not detected,,another situation
2100221806,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2100221810,Woman,"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",crossing at a marked crossing
2100221877,Woman,good no adverse circumstances were found,"correct, appropriate",another situation
2100221889,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2100221900,man,"inattention, distraction",sudden entry into the road from a boarding or dividing island,another situation
2100221934,man,not detected,sudden entry into the road from a boarding or dividing island,another situation
2100221985,another group,not detected,,another situation
2100222010,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2100222039,another group,not detected,,another situation
2100222087,man,"inattention, distraction",poor estimation of the distance and speed of the vehicle,Crossing outside the crossing (20 metres or more from the crossing)
2100222148,child (up to 15 years),"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
2100222150,Woman,good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",another situation
2100222152,another group,not detected,,another situation
2100222174,man,"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",another situation
2100222242,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2100222246,Woman,"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
2100222306,child (up to 15 years),"inattention, distraction",sudden change in walking direction,crossing at a marked crossing
2100222317,child (up to 15 years),"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",another situation
2100222344,Woman,"inattention, distraction",sudden entry into the road from a boarding or dividing island,another situation
2100222348,Woman,good no adverse circumstances were found,"correct, appropriate",another situation
2100222359,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2100222427,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2100222437,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2100222460,man,good no adverse circumstances were found,"correct, appropriate",another situation
2100222469,another group,not detected,,another situation
2100222470,child (up to 15 years),good no adverse circumstances were found,sudden change in walking direction,another situation
2100222555,man,under the influence of alcohol with a blood alcohol content of up to 0.99 ‰,"correct, appropriate",pedestrian entry on the signal FREE
2100222577,Woman,"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",another situation
2100222602,man,good no adverse circumstances were found,,crossing at a marked crossing
2100222615,man,"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",pedestrian entering on the STOP signal
2100222650,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2100222693,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",pedestrian entry on the signal FREE
2100222699,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2100222752,Woman,good no adverse circumstances were found,"correct, appropriate","walking, standing on the pavement"
2100222754,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2100222801,man,good no adverse circumstances were found,,crossing at a marked crossing
2100222816,man,"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",another situation
2100222891,Woman,not detected,,another situation
2100222916,child (up to 15 years),"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",another situation
2100222919,Woman,good no adverse circumstances were found,,another situation
2100222972,man,good no adverse circumstances were found,"correct, appropriate",another situation
2100222994,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2100223008,Woman,good no adverse circumstances were found,"correct, appropriate","walking, standing on the pavement"
2100223043,man,"inattention, distraction",poor estimation of the distance and speed of the vehicle,another situation
2100223062,man,good no adverse circumstances were found,"correct, appropriate",another situation
2100223075,man,good no adverse circumstances were found,"correct, appropriate",another situation
2100223109,Woman,good no adverse circumstances were found,"correct, appropriate",pedestrian entry on the signal FREE
2100223115,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2100223141,man,good no adverse circumstances were found,"correct, appropriate","walking, standing on the pavement"
2100223183,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2100223272,man,good no adverse circumstances were found,"correct, appropriate",pedestrian entry on the signal FREE
2100223278,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2100223314,child (up to 15 years),good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",pedestrian entering on the STOP signal
2100223324,Woman,"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
2100223366,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2100223372,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,"confused, hasty, indecisive behaviour",another situation
2100223379,man,good no adverse circumstances were found,"correct, appropriate",another situation
2100223405,man,under the influence of alcohol with a blood alcohol content of up to 0.99 ‰,"sudden entry into the roadway from the sidewalk, shoulder",another situation
2100223406,man,not detected,"correct, appropriate",crossing at a marked crossing
2100223439,man,good no adverse circumstances were found,"correct, appropriate",another situation
2100223451,Woman,good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",crossing at a marked crossing
2100223452,Woman,good no adverse circumstances were found,"correct, appropriate","walking, standing on the pavement"
2100223486,man,"inattention, distraction",sudden change in walking direction,pedestrian entering on the STOP signal
2100223513,Woman,good no adverse circumstances were found,,another situation
2100223573,Woman,"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",pedestrian entering on the STOP signal
2100223655,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,"sudden entry into the roadway from the sidewalk, shoulder",another situation
2100223671,man,"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",another situation
2100223728,another group,not detected,,another situation
2100223733,man,good no adverse circumstances were found,"correct, appropriate",pedestrian entry on the signal FREE
2100223737,man,not detected,,another situation
2100223797,man,good no adverse circumstances were found,"correct, appropriate",another situation
2100223861,another group,not detected,,another situation
2100223902,another group,not detected,,another situation
2100223912,Woman,good no adverse circumstances were found,"correct, appropriate","walking, standing on the pavement"
2100223944,another group,not detected,,another situation
2100223946,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,"sudden entry into the roadway from the sidewalk, shoulder",another situation
2100223977,Woman,good no adverse circumstances were found,"correct, appropriate",walking on the right side
2100224087,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2100224106,Woman,good no adverse circumstances were found,,crossing at a marked crossing
2100224145,man,"under the influence of drugs, narcotics","confused, hasty, indecisive behaviour",another situation
2100224189,child (up to 15 years),good no adverse circumstances were found,,crossing at a marked crossing
2100224237,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,"sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
2100224271,man,"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",another situation
2100224292,man,"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",another situation
2100224389,Woman,good no adverse circumstances were found,,crossing at a marked crossing
2100224396,man,"inattention, distraction",poor estimation of the distance and speed of the vehicle,another situation
2100224417,Woman,"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",another situation
2100224452,Woman,"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",crossing at a marked crossing
2100224473,Woman,"inattention, distraction",poor estimation of the distance and speed of the vehicle,Crossing outside the crossing (20 metres or more from the crossing)
2100224530,man,"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",pedestrian entering on the STOP signal
2100224531,Woman,good no adverse circumstances were found,"correct, appropriate",pedestrian entry on the signal FREE
2100224569,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,"sudden entry into the roadway from the sidewalk, shoulder",another situation
2100224580,another group,not detected,,another situation
2100224588,man,good no adverse circumstances were found,"correct, appropriate","walking, standing on the pavement"
2100224597,another group,not detected,,another situation
2100224614,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,Side impact,Crossing outside the crossing (20 metres or more from the crossing)
2100224623,Woman,"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",pedestrian entering on the STOP signal
2100224696,Woman,good no adverse circumstances were found,"correct, appropriate",another situation
2100224701,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,sudden entry into the road from a boarding or dividing island,pedestrian entering on the STOP signal
2100224710,man,good no adverse circumstances were found,"correct, appropriate",another situation
2100224727,Woman,good no adverse circumstances were found,"correct, appropriate",another situation
2100224729,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2100224734,man,good no adverse circumstances were found,,another situation
2100224745,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2100224834,Woman,good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
2100224901,Woman,good no adverse circumstances were found,"correct, appropriate",another situation
2100224902,another group,not detected,,another situation
2100224916,Woman,good no adverse circumstances were found,,Crossing outside the crossing (20 metres or more from the crossing)
2100224939,child (up to 15 years),"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",another situation
2100224945,Woman,good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder","walking, standing on the pavement"
2100224955,another group,not detected,,another situation
2100224979,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2100225073,man,"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",another situation
2100225096,child (up to 15 years),"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",crossing just in front of or behind a vehicle at a bus stop
2100225121,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,"confused, hasty, indecisive behaviour",another situation
2100225128,Woman,under the influence of alcohol with a blood alcohol content of 1‰ or more,"sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
2100225137,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2100225254,man,"inattention, distraction",poor estimation of the distance and speed of the vehicle,Crossing outside the crossing (20 metres or more from the crossing)
2100225263,Woman,good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
2100225308,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2100225349,man,"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",another situation
2100225388,another group,not detected,,another situation
2100225408,man,good no adverse circumstances were found,"correct, appropriate","walking, standing on the pavement"
2100225426,man,"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",another situation
2100225474,man,good no adverse circumstances were found,"correct, appropriate",another situation
2100225477,Woman,good no adverse circumstances were found,sudden change in walking direction,another situation
2100225530,another group,not detected,,another situation
2100225561,Woman,"inattention, distraction",Side impact,pedestrian entering on the STOP signal
2100225564,man,"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",another situation
2100225594,man,good no adverse circumstances were found,"correct, appropriate",another situation
2100225595,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2100225600,Woman,good no adverse circumstances were found,"correct, appropriate",another situation
2100225642,another group,not detected,,another situation
2100225670,another group,not detected,,another situation
2100225682,child (up to 15 years),good no adverse circumstances were found,poor estimation of the distance and speed of the vehicle,Crossing outside the crossing (20 metres or more from the crossing)
2100225700,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2100225718,Woman,"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",another situation
2100225738,Woman,good no adverse circumstances were found,"correct, appropriate",pedestrian entry on the signal FREE
2100225752,Woman,good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",crossing at a marked crossing
2100225781,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2100225789,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2100225810,man,"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",pedestrian entering on the STOP signal
2100225831,child (up to 15 years),"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",crossing at a marked crossing
2100225981,man,good no adverse circumstances were found,"correct, appropriate",another situation
2100225983,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,"confused, hasty, indecisive behaviour",another situation
2100225993,man,good no adverse circumstances were found,"correct, appropriate",another situation
2100226002,child (up to 15 years),"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",crossing at a marked crossing
2100226006,man,"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",another situation
2100226055,child (up to 15 years),"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",pedestrian entering on the STOP signal
2100226062,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2100226075,man,"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",another situation
2100226076,another group,not detected,,another situation
2100226088,Woman,good no adverse circumstances were found,"correct, appropriate",another situation
2100226136,Woman,"inattention, distraction","confused, hasty, indecisive behaviour",another situation
2100226137,child (up to 15 years),"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",crossing just in front of or behind a vehicle at a bus stop
2100226138,man,"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",walking on the wrong side
2100226165,man,"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",another situation
2100226199,Woman,good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",another situation
2100226203,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,"sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
2100226237,child (up to 15 years),"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",crossing at a marked crossing
2100226272,another group,not detected,,another situation
2100226365,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2100226380,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,sudden entry into the road from a boarding or dividing island,pedestrian entering on the STOP signal
2100226397,man,"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",pedestrian entering on the STOP signal
2100226408,Woman,good no adverse circumstances were found,"correct, appropriate",another situation
2100226423,man,good no adverse circumstances were found,"correct, appropriate",another situation
2100226477,Woman,good no adverse circumstances were found,"correct, appropriate",another situation
2100226484,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2100226509,child (up to 15 years),not detected,"sudden entry into the roadway from the sidewalk, shoulder",crossing at a marked crossing
2100226530,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,poor estimation of the distance and speed of the vehicle,another situation
2100226592,another group,not detected,,another situation
2100226649,man,good no adverse circumstances were found,"correct, appropriate",another situation
2100226796,child (up to 15 years),"inattention, distraction",sudden entry into the road from a boarding or dividing island,crossing just in front of or behind a vehicle at a bus stop
2100226829,child (up to 15 years),"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
2100226848,Woman,"inattention, distraction",Side impact,another situation
2100226894,another group,not detected,,another situation
2100226923,Woman,good no adverse circumstances were found,sudden change in walking direction,walking on the wrong side
2100226951,Woman,under the influence of alcohol with a blood alcohol content of 1‰ or more,"correct, appropriate",another situation
2100226977,man,good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
2100227000,Woman,good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",crossing at a marked crossing
2100227012,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2100227013,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2100227027,Woman,good no adverse circumstances were found,"correct, appropriate",another situation
2100227055,Woman,good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",pedestrian entering on the STOP signal
2100227091,man,under the influence of alcohol with a blood alcohol content of up to 0.99 ‰,sudden entry into the road from a boarding or dividing island,crossing just in front of or behind a vehicle at a bus stop
2100227130,Woman,"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",another situation
2100227149,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",pedestrian entry on the signal FREE
2100227199,Woman,"inattention, distraction","confused, hasty, indecisive behaviour",another situation
2100227206,another group,not detected,,another situation
2100227252,man,good no adverse circumstances were found,"correct, appropriate",another situation
2100227284,Woman,good no adverse circumstances were found,"correct, appropriate",another situation
2100227298,Woman,under the influence of alcohol with a blood alcohol content of 1‰ or more,"sudden entry into the roadway from the sidewalk, shoulder",crossing at a marked crossing
2100227308,another group,not detected,,another situation
2100227314,man,good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
2100227319,Woman,good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
2100227337,man,good no adverse circumstances were found,"correct, appropriate",Crossing outside the crossing (20 metres or more from the crossing)
2100227415,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,,another situation
2100227488,Woman,"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",another situation
2100227528,another group,not detected,,another situation
2100227547,Woman,"inattention, distraction",Side impact,crossing at a marked crossing
2100227552,Woman,good no adverse circumstances were found,"correct, appropriate","walking, standing on the pavement"
2100227557,man,"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",another situation
2100227635,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2100227694,another group,not detected,,another situation
2100227725,man,good no adverse circumstances were found,"correct, appropriate",another situation
2100227731,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2100227825,Woman,"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",another situation
2100227828,man,"inattention, distraction",sudden entry into the road from a boarding or dividing island,another situation
2100227846,man,"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",another situation
2100227880,man,"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",another situation
2100227893,man,"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",pedestrian entering on the STOP signal
2100227903,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,"sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
2100227955,another group,not detected,,another situation
2100227999,Woman,good no adverse circumstances were found,"correct, appropriate",another situation
2100228020,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2100228035,man,"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
2100228072,child (up to 15 years),"inattention, distraction",sudden change in walking direction,another situation
2100228077,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2100228126,man,"inattention, distraction",poor estimation of the distance and speed of the vehicle,crossing at a marked crossing
